0	1.30
1	1.31
2	1.32
3	1.33
4	1.34
5	1.35
6	1.36
7	1.37
8	1.38
9	1.39
10	1.40
11	1.41
12	1.42
13	1.43
14	1.44
15	1.45
16	1.46
17	1.47
18	1.48
19	1.49
20	1.50
21	1.51
22	1.52
23	1.53
24	1.54
25	1.55
26	1.56
27	1.57
28	1.58
29	1.59
30	1.60
31	1.61
32	1.62
33	1.63
34	1.64
35	1.65
36	1.66
37	1.67
38	1.68
39	1.69
40	1.70
41	1.71
42	1.72
43	1.73
44	1.74
45	1.75
46	1.76
47	1.77
48	1.78
49	1.79
50	1.80
51	1.81
52	1.82
53	1.83
54	1.84
55	1.85
56	1.86
57	1.87
58	1.88
59	1.89
60	1.90
61	1.91
62	1.92
63	1.93
64	1.94
65	1.95
66	1.96
67	1.97
68	1.98
69	1.99
70	2.00
